question,correct,wrong1,wrong2,wrong3,difficulty,category
What is the most venomous snake in the world?,Inland taipan,King cobra,Black mamba,Rattlesnake,6,Animals
Which bird is often associated with delivering babies in folklore?,Stork,Swan,Crane,Pelican,2,Animals
What is the fastest land animal?,Cheetah,Jaguar,Antelope,Lion,1,Animals
Which animal is known for its ability to change colors?,Chameleon,Iguana,Gecko,Monitor,2,Animals
What is the largest species of shark?,Whale shark,Great white shark,Hammerhead shark,Tiger shark,3,Animals
Which animal is known as the 'Ship of the Desert'?,Camel,Llama,Alpaca,Dromedary,1,Animals
How many hearts does an octopus have?,Three,Two,Four,One,4,Animals
What is the primary diet of a panda?,Bamboo,Eucalyptus,Fruit,Insects,2,Animals
Which animal is known for its black and white stripes?,Zebra,Tiger,Panda,Skunk,1,Animals
Which reptile is known for its powerful bite?,Crocodile,Alligator,Komodo dragon,Python,3,Animals
What is the tallest animal in the world?,Giraffe,Elephant,Ostrich,Camel,1,Animals
Which animal is known to have the longest lifespan?,Tortoise,Whale,Parrot,Elephant,5,Animals
Which bird is known for its elaborate courtship dance?,Peacock,Flamingo,Heron,Albatross,3,Animals
What is the largest type of whale?,Blue whale,Orca whale,Humpback whale,Sei whale,2,Animals
Which insect is known for living in colonies?,Ant,Bee,Termite,Wasp,1,Animals
What type of animal is a Komodo dragon?,Lizard,Snake,Crocodile,Turtle,2,Animals
How many legs does a spider typically have?,Eight,Six,Ten,Twelve,2,Animals
Which animal is known as the king of the jungle?,Lion,Tiger,Leopard,Panther,1,Animals
What is the main characteristic of marsupials?,Pouch,Claws,Horns,Wings,3,Animals
Which fish is known for its lethal venom?,Stonefish,Lionfish,Pufferfish,Catfish,7,Animals
